Osaston numero;Osaston nimi;Tuloluvun numero;Tuloluvun nimi;Tulomomentin numero;Tulomomentin nimi;Tulomomentin info-osa;Määräraha;Aiemmin budjetoitu V lisätalousarvio 2014;Aiemmin budjetoitu IV lisätalousarvio 2014;Aiemmin budjetoitu III lisätalousarvio 2014;Aiemmin budjetoitu II lisätalousarvio 2014;Aiemmin budjetoitu I lisätalousarvio 2014;Aiemmin budjetoitu 2014;Toteutuma 2013;Toteutuma 2012
12;"SEKALAISET TULOT";24;"Ulkoasiainministeriön hallinnonala";99;"Ulkoasiainministeriön hallinnonalan tulot";"";-500000;;;;;;17260000;13027321;29944459
12;"SEKALAISET TULOT";25;"Oikeusministeriön hallinnonala";10;"Tuomioistuintulot";"";5000000;;;;;;27010000;34623812;33833367
12;"SEKALAISET TULOT";25;"Oikeusministeriön hallinnonala";20;"Ulosottomaksut";"";4000000;;;;;;69000000;75927362;71683279
12;"SEKALAISET TULOT";27;"Puolustusministeriön hallinnonala";99;"Puolustusministeriön hallinnonalan muut tulot";"";1000000;;;1000000;;;4200000;4313633;3028836
12;"SEKALAISET TULOT";28;"Valtiovarainministeriön hallinnonala";87;"Tulot rahoitusmarkkinoiden vakauttamisesta";"";17000000;;;;;;;;
12;"SEKALAISET TULOT";28;"Valtiovarainministeriön hallinnonala";92;"Euroopan unionin perinteisten omien varojen kantopalkkiot";"";-12000000;;;;;;52000000;42556912;46598501
12;"SEKALAISET TULOT";31;"Liikenne- ja viestintäministeriön hallinnonala";10;"Liikenneviraston tulot";"";12360000;;;;;23159000;17716000;28945198;64145863
12;"SEKALAISET TULOT";31;"Liikenne- ja viestintäministeriön hallinnonala";99;"Liikenne- ja viestintäministeriön hallinnonalan muut tulot";"";1859000;;;;;33000;50000;51058;46198
12;"SEKALAISET TULOT";32;"Työ- ja elinkeinoministeriön hallinnonala";30;"Siirrot valtion talousarvion ulkopuolisista rahastoista ";"";100000000;;;;;;;;
12;"SEKALAISET TULOT";32;"Työ- ja elinkeinoministeriön hallinnonala";31;"Palkkaturvamaksujen palautukset";"";4000000;;;;;;36327000;35978338;33624331
12;"SEKALAISET TULOT";39;"Muut sekalaiset tulot";04;"Siirrettyjen määrärahojen peruutukset";"";24554000;;;;;77027000;50000000;98204236;517234763
