Pääluokan numero;Pääluokan nimi;Menoluvun numero;Menoluvun nimi;Menomomentin numero;Menomomentin nimi;Menomomentin info-osa;Määräraha;Aiemmin budjetoitu V lisätalousarvio 2014;Aiemmin budjetoitu IV lisätalousarvio 2014;Aiemmin budjetoitu III lisätalousarvio 2014;Aiemmin budjetoitu II lisätalousarvio 2014;Aiemmin budjetoitu I lisätalousarvio 2014;Aiemmin budjetoitu 2014;Toteutuma 2013;Toteutuma 2012
32;"TYÖ- JA ELINKEINOMINISTERIÖN HALLINNONALA";01;"Hallinto";01;"Työ- ja elinkeinoministeriön toimintamenot";"";1680000;;;;;0;54110000;60816000;54675000
32;"TYÖ- JA ELINKEINOMINISTERIÖN HALLINNONALA";01;"Hallinto";02;"Elinkeino-, liikenne- ja ympäristökeskusten toimintamenot";"";390000;;;;;-1152000;215897000;215204000;212670000
32;"TYÖ- JA ELINKEINOMINISTERIÖN HALLINNONALA";01;"Hallinto";22;"Talvivaara Sotkamo Oy:n konkurssin aiheuttamien ympäristövahinkojen estäminen";"";50000000;;;;;;;;
32;"TYÖ- JA ELINKEINOMINISTERIÖN HALLINNONALA";01;"Hallinto";29;"Työ- ja elinkeinoministeriön hallinnonalan arvonlisäveromenot";"";35000000;;;;;;81692000;85910083;79065510
32;"TYÖ- JA ELINKEINOMINISTERIÖN HALLINNONALA";20;"Elinkeino- ja innovaatiopolitiikka";02;"Teknologian tutkimuskeskus VTT:n toimintamenot";"";-3310000;;;;;2283000;91039000;89187000;93983000
32;"TYÖ- JA ELINKEINOMINISTERIÖN HALLINNONALA";20;"Elinkeino- ja innovaatiopolitiikka";41;"Yleisavustus eräille yhteisöille ja järjestöille elinkeinopolitiikan edistämiseksi";"";0;;;;6300000;29000000;26637000;36122000;40472000
32;"TYÖ- JA ELINKEINOMINISTERIÖN HALLINNONALA";20;"Elinkeino- ja innovaatiopolitiikka";46;"Laivanrakennuksen innovaatiotuki";"";10000000;;;;;;3200000;26100000;17100000
32;"TYÖ- JA ELINKEINOMINISTERIÖN HALLINNONALA";20;"Elinkeino- ja innovaatiopolitiikka";47;"Finnvera Oyj:n korkotuet ja tappiokorvaukset";"";0;;;;;;52722000;60310400;58233314
32;"TYÖ- JA ELINKEINOMINISTERIÖN HALLINNONALA";20;"Elinkeino- ja innovaatiopolitiikka";80;"Lainat Suomen Vientiluotto Oy:n jälleenrahoitustoimintaan";"";10000000;;;;;60000000;414500000;803255945;943652525
32;"TYÖ- JA ELINKEINOMINISTERIÖN HALLINNONALA";20;"Elinkeino- ja innovaatiopolitiikka";83;"Lainat tutkimus- ja innovaatiotoimintaan";"";0;;;;;24600000;90400000;101511668;98307073
32;"TYÖ- JA ELINKEINOMINISTERIÖN HALLINNONALA";30;"Työllisyys- ja yrittäjyyspolitiikka";01;"Työ- ja elinkeinotoimistojen toimintamenot";"";165000;;;;;2500000;156961000;160975000;158692000
32;"TYÖ- JA ELINKEINOMINISTERIÖN HALLINNONALA";30;"Työllisyys- ja yrittäjyyspolitiikka";50;"Palkkaturva";"";4000000;;;;;;37000000;39111257;36130778
32;"TYÖ- JA ELINKEINOMINISTERIÖN HALLINNONALA";50;"Alueiden kehittäminen ja rakennerahastopolitiikka";64;"EU:n ja valtion rahoitusosuus EU:n rakennerahasto-, ulkorajayhteistyö- ja muihin koheesiopolitiikan ohjelmiin";"";-60000000;;;;;0;565590000;466306515;495138213
32;"TYÖ- JA ELINKEINOMINISTERIÖN HALLINNONALA";60;"Energiapolitiikka";41;"LNG-terminaalien investointituki";"";-42000000;;;;;;42000000;0;
32;"TYÖ- JA ELINKEINOMINISTERIÖN HALLINNONALA";60;"Energiapolitiikka";43;"Kioton mekanismit";"";0;;;;;;1000000;1551193;390530
32;"TYÖ- JA ELINKEINOMINISTERIÖN HALLINNONALA";60;"Energiapolitiikka";44;"Uusiutuvan energian tuotantotuki";"";-20000000;;;;;;144400000;57532024;41768005
