Pääluokan numero;Pääluokan nimi;Menoluvun numero;Menoluvun nimi;Menomomentin numero;Menomomentin nimi;Menomomentin info-osa;Määräraha;Aiemmin budjetoitu V lisätalousarvio 2014;Aiemmin budjetoitu IV lisätalousarvio 2014;Aiemmin budjetoitu III lisätalousarvio 2014;Aiemmin budjetoitu II lisätalousarvio 2014;Aiemmin budjetoitu I lisätalousarvio 2014;Aiemmin budjetoitu 2014;Toteutuma 2013;Toteutuma 2012
33;"SOSIAALI- JA TERVEYSMINISTERIÖN HALLINNONALA";01;"Hallinto";01;"Sosiaali- ja terveysministeriön toimintamenot";"";320000;;;;;-154000;40990000;41030000;40262000
33;"SOSIAALI- JA TERVEYSMINISTERIÖN HALLINNONALA";01;"Hallinto";02;"Työttömyysturvan muutoksenhakulautakunnan toimintamenot";"";55000;;;;;;2250000;2363000;2365000
33;"SOSIAALI- JA TERVEYSMINISTERIÖN HALLINNONALA";01;"Hallinto";03;"Sosiaaliturvan muutoksenhakulautakunnan toimintamenot";"";100000;;;;;;4548000;4524000;5237000
33;"SOSIAALI- JA TERVEYSMINISTERIÖN HALLINNONALA";01;"Hallinto";21;"Sosiaali- ja terveysministeriön hallinnonalan tuottavuusmääräraha";"";-1070000;;;;;;1070000;1000;26000
33;"SOSIAALI- JA TERVEYSMINISTERIÖN HALLINNONALA";02;"Valvonta";03;"Säteilyturvakeskuksen toimintamenot";"";75000;;;;;;16277000;13842000;13960000
33;"SOSIAALI- JA TERVEYSMINISTERIÖN HALLINNONALA";02;"Valvonta";05;"Sosiaali- ja terveysalan lupa- ja valvontaviraston toimintamenot";"";295000;;;;;270000;11771000;12165000;14743000
33;"SOSIAALI- JA TERVEYSMINISTERIÖN HALLINNONALA";02;"Valvonta";06;"Lääkealan turvallisuus- ja kehittämiskeskuksen toimintamenot";"";75000;;;;;;5502000;3578000;4147000
33;"SOSIAALI- JA TERVEYSMINISTERIÖN HALLINNONALA";03;"Tutkimus- ja kehittämistoiminta";04;"Terveyden ja hyvinvoinnin laitoksen toimintamenot";"";150000;;;;;;67953000;70051000;69796000
33;"SOSIAALI- JA TERVEYSMINISTERIÖN HALLINNONALA";10;"Perhe- ja asumiskustannusten tasaus ja eräät palvelut";54;"Asumistuki";"";20000000;;;;;;726000000;670000000;603900000
33;"SOSIAALI- JA TERVEYSMINISTERIÖN HALLINNONALA";10;"Perhe- ja asumiskustannusten tasaus ja eräät palvelut";55;"Elatustuki";"";3600000;;;;;;188200000;184384490;172380221
33;"SOSIAALI- JA TERVEYSMINISTERIÖN HALLINNONALA";20;"Työttömyysturva";50;"Valtionosuus ansiopäivärahasta";"";12000000;;;;;;1004550000;981000000;850000000
33;"SOSIAALI- JA TERVEYSMINISTERIÖN HALLINNONALA";20;"Työttömyysturva";51;"Valtionosuus peruspäivärahasta";"";10000000;;;;;;244480000;199850000;167000000
33;"SOSIAALI- JA TERVEYSMINISTERIÖN HALLINNONALA";20;"Työttömyysturva";52;"Valtionosuus työmarkkinatuesta";"";183200000;;;;;;1390800000;1340780142;1143679941
33;"SOSIAALI- JA TERVEYSMINISTERIÖN HALLINNONALA";20;"Työttömyysturva";55;"Valtionosuus aikuiskoulutustuesta";"";7840000;;;;;;55160000;55399619;43000000
33;"SOSIAALI- JA TERVEYSMINISTERIÖN HALLINNONALA";30;"Sairausvakuutus";60;"Valtion osuus sairausvakuutuslaista johtuvista menoista";"";-20000000;;;;;;1288200000;1208133512;1323951073
33;"SOSIAALI- JA TERVEYSMINISTERIÖN HALLINNONALA";40;"Eläkkeet";51;"Valtion osuus maatalousyrittäjän eläkelaista johtuvista menoista";"";2600000;;;;;;603000000;584000000;564900000
33;"SOSIAALI- JA TERVEYSMINISTERIÖN HALLINNONALA";40;"Eläkkeet";52;"Valtion osuus yrittäjän eläkelaista johtuvista menoista";"";-7000000;;;;;;90000000;70000000;29100010
33;"SOSIAALI- JA TERVEYSMINISTERIÖN HALLINNONALA";40;"Eläkkeet";60;"Valtion osuus kansaneläkelaista ja eräistä muista laeista johtuvista menoista";"";-19000000;;;;;;3749500000;3709896890;3615506421
