Osaston numero;Osaston nimi;Tuloluvun numero;Tuloluvun nimi;Tulomomentin numero;Tulomomentin nimi;Tulomomentin info-osa;Määräraha;Aiemmin budjetoitu V lisätalousarvio 2016;Aiemmin budjetoitu IV lisätalousarvio 2016;Aiemmin budjetoitu III lisätalousarvio 2016;Aiemmin budjetoitu II lisätalousarvio 2016;Aiemmin budjetoitu I lisätalousarvio 2016;Aiemmin budjetoitu 2016;Toteutuma 2015;Toteutuma 2014
11;"VEROT JA VERONLUONTEISET TULOT";01;"Tulon ja varallisuuden perusteella kannettavat verot";01;"Ansio- ja pääomatuloverot";"";270000000;;;;;;9210000000;9094292379;9117056165
11;"VEROT JA VERONLUONTEISET TULOT";01;"Tulon ja varallisuuden perusteella kannettavat verot";02;"Yhteisövero";"";195000000;;;;206000000;;2877000000;2761280794;2432758665
11;"VEROT JA VERONLUONTEISET TULOT";01;"Tulon ja varallisuuden perusteella kannettavat verot";04;"Perintö- ja lahjavero";"";-170000000;;;;-50000000;;710000000;630918741;499060109
11;"VEROT JA VERONLUONTEISET TULOT";04;"Liikevaihdon perusteella kannettavat verot ja maksut";01;"Arvonlisävero";"";141000000;;;;;;16868000000;16628487549;16552721016
11;"VEROT JA VERONLUONTEISET TULOT";04;"Liikevaihdon perusteella kannettavat verot ja maksut";03;"Apteekkimaksut";"";14700000;;;;;;162100000;164417019;156601052
11;"VEROT JA VERONLUONTEISET TULOT";08;"Valmisteverot";01;"Tupakkavero";"";21000000;;;;;;929000000;880851169;785291870
11;"VEROT JA VERONLUONTEISET TULOT";10;"Muut verot";03;"Autovero";"";60000000;;;;;;839000000;884127174;917993352
11;"VEROT JA VERONLUONTEISET TULOT";10;"Muut verot";05;"Varainsiirtovero";"";104000000;;;;;;698000000;783535939;702163570
11;"VEROT JA VERONLUONTEISET TULOT";10;"Muut verot";07;"Ajoneuvovero";"";-25000000;;;;;;1115000000;929984759;877618781
11;"VEROT JA VERONLUONTEISET TULOT";19;"Muut veronluonteiset tulot";04;"Eräät viestinnän maksut";"";150000;;;;;;28570000;28665476;28203802
11;"VEROT JA VERONLUONTEISET TULOT";19;"Muut veronluonteiset tulot";11;"Rahoitusvakausviraston hallintomaksut";"";-2400000;;;;;;2400000;2998447;
