Pääluokan numero;Pääluokan nimi;Menoluvun numero;Menoluvun nimi;Menomomentin numero;Menomomentin nimi;Menomomentin info-osa;Määräraha;Aiemmin budjetoitu V lisätalousarvio 2016;Aiemmin budjetoitu IV lisätalousarvio 2016;Aiemmin budjetoitu III lisätalousarvio 2016;Aiemmin budjetoitu II lisätalousarvio 2016;Aiemmin budjetoitu I lisätalousarvio 2016;Aiemmin budjetoitu 2016;Toteutuma 2015;Toteutuma 2014
28;"VALTIOVARAINMINISTERIÖN HALLINNONALA";01;"Hallinto";20;"Valtion kiinteistöstrategian toteuttaminen ja hallinnonalan omistajaohjaus";"";900000;;;;;;315000;1115000;415000
28;"VALTIOVARAINMINISTERIÖN HALLINNONALA";10;"Verotus ja tulli";02;"Tullin toimintamenot";"";1950000;;;;-298000;;170599000;170776000;166359000
28;"VALTIOVARAINMINISTERIÖN HALLINNONALA";10;"Verotus ja tulli";63;"Takaisin maksetut verot";"";0;;;;;;17900000;3399068;4603049
28;"VALTIOVARAINMINISTERIÖN HALLINNONALA";10;"Verotus ja tulli";97;"Autoveron vientipalautus";"";2000000;;;;;;3000000;2051258;1768257
28;"VALTIOVARAINMINISTERIÖN HALLINNONALA";20;"Palvelut valtioyhteisölle";01;"Valtiokonttorin toimintamenot";"";3400000;;;;-37000;;25253000;28089000;31237000
28;"VALTIOVARAINMINISTERIÖN HALLINNONALA";20;"Palvelut valtioyhteisölle";10;"Valtion tieto- ja viestintätekniikkakeskuksen investointimenot ";"";-5000000;;;;;;10000000;10000000;6000000
28;"VALTIOVARAINMINISTERIÖN HALLINNONALA";20;"Palvelut valtioyhteisölle";11;"Valtion tieto- ja viestintätekniikkakeskuksen toiminnan turvaaminen";"";2000000;;;;;;;;
28;"VALTIOVARAINMINISTERIÖN HALLINNONALA";20;"Palvelut valtioyhteisölle";88;"Senaatti-kiinteistöt";"";0;;;;0;;0;0;0
28;"VALTIOVARAINMINISTERIÖN HALLINNONALA";50;"Eläkkeet ja korvaukset";95;"Muiden eläkelaitosten valtion puolesta maksamien eläkemenojen ja valtiolle maksamien ennakoiden korkomenot";"";-11100000;;;;;;34100000;32337785;25044322
28;"VALTIOVARAINMINISTERIÖN HALLINNONALA";60;"Valtionhallinnon yhteiset henkilöstömenot";12;"Osaamisen kehittäminen";"";4500000;;;;;;11000000;8000000;12328000
28;"VALTIOVARAINMINISTERIÖN HALLINNONALA";70;"Valtionhallinnon kehittäminen";20;"Tuottavuuden edistäminen";"";-10400000;;;;-7000000;;35199000;9655000;17810000
28;"VALTIOVARAINMINISTERIÖN HALLINNONALA";70;"Valtionhallinnon kehittäminen";21;"Kansallisen tulorekisterin toteutus";"";10000000;;;;;;5855000;;
28;"VALTIOVARAINMINISTERIÖN HALLINNONALA";70;"Valtionhallinnon kehittäminen";22;"Hallinnon palveluiden digitalisoinnin tuki";"";-3750000;;;;-10850000;-9870000;24645000;;
28;"VALTIOVARAINMINISTERIÖN HALLINNONALA";80;"Siirrot Ahvenanmaan maakunnalle";30;"Ahvenanmaan tasoitusmaksu";"";-2136000;;;;1000000;45000;220768000;220775638;215807393
28;"VALTIOVARAINMINISTERIÖN HALLINNONALA";80;"Siirrot Ahvenanmaan maakunnalle";33;"Arpajaisveron tuoton palauttaminen Ahvenanmaan maakunnalle";"";-890000;;;;;;12000000;9995531;11458227
28;"VALTIOVARAINMINISTERIÖN HALLINNONALA";90;"Kuntien tukeminen";31;"Kuntien yhdistymisen taloudellinen tuki";"";0;;;;;;25574000;34164743;33901729
28;"VALTIOVARAINMINISTERIÖN HALLINNONALA";90;"Kuntien tukeminen";34;"Paikallisten kuntakokeilujen rahoitus";"";0;;;;;;520000;520000;520000
28;"VALTIOVARAINMINISTERIÖN HALLINNONALA";92;"EU ja kansainväliset järjestöt";03;"Rahoitusvakausviraston toimintamenot";"";-500000;;;;;;2400000;3000000;
28;"VALTIOVARAINMINISTERIÖN HALLINNONALA";92;"EU ja kansainväliset järjestöt";69;"Maksut Euroopan unionille";"";0;;;;;;1951000000;1805000000;1981962642
28;"VALTIOVARAINMINISTERIÖN HALLINNONALA";92;"EU ja kansainväliset järjestöt";95;"Valtion takaussuoritukset";"";50000;;;;2400000;;800000;780428;3991590
