"level1code","level1description","level2code","level2description","level3code","level3description","level4code","level4description","level5code","level5description"
"1","Revenue","11","Taxes","111","Taxes on income, profits, and capital gains","1111","Payable by individuals","",""
"1","Revenue","11","Taxes","111","Taxes on income, profits, and capital gains","1112","Payable by corporations and other enterprises","",""
"1","Revenue","11","Taxes","111","Taxes on income, profits, and capital gains","1111","Other taxes on income, profits, and capital gains","",""
"1","Revenue","11","Taxes","112","Taxes on payroll and workforce","","","",""
"1","Revenue","11","Taxes","113","Taxes on property","1131","Recurrent taxes on immovable property","",""
"1","Revenue","11","Taxes","113","Taxes on property","1132","Recurrent taxes on net wealth","",""
"1","Revenue","11","Taxes","113","Taxes on property","1133","Estate, inheritance, and gift taxes","",""
"1","Revenue","11","Taxes","113","Taxes on property","1135","Capital levies","",""
"1","Revenue","11","Taxes","114","Taxes on goods and services","1141","General taxes on goods and services","11411","Value-added taxes"
"1","Revenue","11","Taxes","114","Taxes on goods and services","1141","General taxes on goods and services","11412","Sales taxes"
"1","Revenue","11","Taxes","114","Taxes on goods and services","1141","General taxes on goods and services","11413","Turnover and other general taxes on goods and services"
"1","Revenue","11","Taxes","114","Taxes on goods and services","1141","General taxes on goods and services","11414","Taxes on financial and capital transactions"
"1","Revenue","11","Taxes","114","Taxes on goods and services","1142","Excise","",""
"1","Revenue","11","Taxes","114","Taxes on goods and services","1143","Profits of fiscal monopolies","",""
"1","Revenue","11","Taxes","114","Taxes on goods and services","1144","Taxes on specific services","",""
"1","Revenue","11","Taxes","114","Taxes on goods and services","1145","Taxes on use of goods and on permission to use goods or perform activities","11451","Motor vehicle taxes"
"1","Revenue","11","Taxes","114","Taxes on goods and services","1145","Taxes on use of goods and on permission to use goods or perform activities","11452","Other taxes on use of goods and on permission to use goods or perform activities"
"1","Revenue","11","Taxes","114","Taxes on goods and services","1146","Other taxes on goods and services","",""
"1","Revenue","11","Taxes","114","Taxes on goods and services","1145","","",""
"1","Revenue","11","Taxes","115","Taxes on international trade and transactions","1151","Customs and other import duties","",""
"1","Revenue","11","Taxes","115","Taxes on international trade and transactions","1152","Taxes on exports","",""
"1","Revenue","11","Taxes","115","Taxes on international trade and transactions","1153","Profits of export or import monopolies","",""
"1","Revenue","11","Taxes","115","Taxes on international trade and transactions","1154","Exchange profits","",""
"1","Revenue","11","Taxes","115","Taxes on international trade and transactions","1155","Exchange taxes","",""
"1","Revenue","11","Taxes","115","Taxes on international trade and transactions","1156","Other taxes on international trade and transactions","",""
"1","Revenue","11","Taxes","115","Other taxes","1161","Payable solely by business","",""
"1","Revenue","11","Taxes","115","Other taxes","1162","Payable by other than business or unidentifiable","",""
"1","Revenue","12","Social contributions [GFS]","121","Social security contributions [GFS]","1211","Employee contributions [GFS]","",""
"1","Revenue","12","Social contributions [GFS]","121","Social security contributions [GFS]","1212","Employer contributions [GFS]","",""
"1","Revenue","12","Social contributions [GFS]","121","Social security contributions [GFS]","1213","Self-employed or unemployed contributions [GFS]","",""
"1","Revenue","12","Social contributions [GFS]","121","Social security contributions [GFS]","1214","Unallocable contributions [GFS]","",""
"1","Revenue","12","Social contributions [GFS]","122","Other social contributions [GFS]","1221","Employee contributions [GFS]","",""
"1","Revenue","12","Social contributions [GFS]","122","Other social contributions [GFS]","1222","Employer contributions [GFS]","",""
"1","Revenue","12","Social contributions [GFS]","122","Other social contributions [GFS]","1223","Imputed contributions [GFS]","",""
"1","Revenue","13","Grants","131","From foreign governments","1311","Current","",""
"1","Revenue","13","Grants","131","From foreign governments","1312","Capital","",""
"1","Revenue","13","Grants","132","From international organizations","1321","Current","",""
"1","Revenue","13","Grants","132","From international organizations","1322","Capital","",""
"1","Revenue","13","Grants","132","From other general government units","1331","Current","",""
"1","Revenue","13","Grants","132","From other general government units","1332","Capital","",""
"1","Revenue","14","Other revenue","141","Property income [GFS]","1411","Interest [GFS]","",""
"1","Revenue","14","Other revenue","141","Property income [GFS]","1412","Dividends","",""
"1","Revenue","14","Other revenue","141","Property income [GFS]","1413","Withdrawals of income from quasi-corporations","",""
"1","Revenue","14","Other revenue","141","Property income [GFS]","1414","Property income from investment income disbursements","",""
"1","Revenue","14","Other revenue","141","Property income [GFS]","1415","Rent","",""
"1","Revenue","14","Other revenue","141","Property income [GFS]","1416","Reinvested earnings on foreign direct investment","",""
"1","Revenue","14","Other revenue","142","Sales of goods and services","1421","Sales by market establishments","",""
"1","Revenue","14","Other revenue","142","Sales of goods and services","1422","Administrative fees","",""
"1","Revenue","14","Other revenue","142","Sales of goods and services","1423","Incidental sales by nonmarket establishments","",""
"1","Revenue","14","Other revenue","142","Sales of goods and services","1424","Imputed sales of goods and services","",""
"1","Revenue","14","Other revenue","143","Fines, penalties, and forfeits","","","",""
"1","Revenue","14","Other revenue","144","Transfers not elsewhere classified","","","",""
