Kirjanpitoyksikkökoodi,Kirjanpitoyksikkö,Kirjanpitoyksikkö-SV,Kirjanpitoyksikkö-EN,Järjestys,Alkaa,Päättyy
110,Eduskunta,,,,,
111,Valtiontalouden tarkastusvirasto,,,,,
112,Ulkopoliittinen instituutti,,,,,
120,Tasavallan presidentin kanslia,,,,,
125,Valtioneuvoston kanslia,,,,,
130,Ulkoasiainministeriö,,,,,
150,Oikeusministeriö,,,,,
151,Rikosseuraamuslaitos,,,,,
200,Sisäministeriö,,,,,
201,Rajavartiolaitos,,,,,
220,Pelastusopisto,,,,,
224,Poliisihallitus,,,,,
232,Maahanmuuttovirasto,,,,,
248,Hätäkeskuslaitos,,,,,
249,Hallinnon tietotekniikkakeskus,,,,,
250,Puolustusministeriö,,,,,
251,Puolustusvoimat,,,,,
252,Puolustushallinnon rakennuslaitos,,,,,
213,Ahvenanmaan valtionvirasto,,,,,
300,Valtiovarainministeriö,,,,,
301,Valtiokonttori,,,,,
302,Tulli,,,,,
305,Verohallinto,,,,,
306,Valtion taloudellinen tutkimuskeskus,,,,,
308,Väestörekisterikeskus,,,,,
309,Valtion talous- ja henkilöstöhallinnon palvelukeskus,,,,,
320,Valtion tieto- ja viestintätekniikkakeskus Valtori,,,,,
321,Tilastokeskus,,,,,
360,Etelä-Suomen aluehallintovirasto,,,,,
600,Opetus- ja kulttuuriministeriö,,,,,
601,Kansainvälisen liikkuvuuden ja yhteistyön keskus CIMO,,,,,
603,Kansallisarkisto,,,,,
605,Suomen Akatemia,,,,,
606,Museovirasto,,,,,
607,Suomenlinnan hoitokunta,,,,,
660,Opetushallitus,,,,,
401,Maa- ja metsätalousministeriön tietopalvelukeskus,,,,,2014-31-12
402,Maanmittauslaitos,,,,,
404,Metsäntutkimuslaitos,,,,,2014-31-12
408,Elintarviketurvallisuusvirasto,,,,,
411,Maa- ja elintarviketalouden tutkimuskeskus,,,,,2014-31-12
412,Riista- ja kalatalouden tutkimuslaitos,,,,,
415,Geodeettinen laitos,,,,,
425,Maaseutuvirasto,,,,,
440,Maa- ja metsätalousministeriö,,,,,
450,Liikenne- ja viestintäministeriö,,,,,
456,Liikennevirasto,,,,,
457,Liikenteen turvallisuusvirasto,,,,,
494,Ilmatieteen laitos,,,,,
495,Viestintävirasto,,,,,
410,Luonnonvarakeskus,,,,2015-01-01,
315,Rahoitusvakausvirasto,,,,2015-01-01,
