"Julkisyhteisöjen kokonaistulot ja -menot 1975-2015"

"Sektori";"Taloustoimi";"Tiedot";"2014"
"S13 Julkisyhteisöt";"P11R Markkinatuotos";"Käypiin hintoihin";11091
"S13 Julkisyhteisöt";"P12R Tuotos omaan loppukäyttöön";"Käypiin hintoihin";2105
"S13 Julkisyhteisöt";"P131R Markkinattomien tuotteiden myynnit";"Käypiin hintoihin";2234
"S13 Julkisyhteisöt";"D2R Saadut tuotannon ja tuonnin verot";"Käypiin hintoihin";29556
"S13 Julkisyhteisöt";"D4R Omaisuustulot";"Käypiin hintoihin";6402
"S13 Julkisyhteisöt";"D4SR Omaisuustulot, sulautettu";"Käypiin hintoihin";6312
"S13 Julkisyhteisöt";"D411RJ Julkisyhteisöjen väliset korot, saadut";"Käypiin hintoihin";90
"S13 Julkisyhteisöt";"D5R Saadut tulo-, varallisuus-, ym. juoksevat verot";"Käypiin hintoihin";33790
"S13 Julkisyhteisöt";"D61R Saadut sosiaaliturvamaksut";"Käypiin hintoihin";26288
"S13 Julkisyhteisöt";"D7R Saadut muut tulonsiirrot";"Käypiin hintoihin";30762
"S13 Julkisyhteisöt";"D7SR Saadut muut tulonsiirrot, sulautettu";"Käypiin hintoihin";768
"S13 Julkisyhteisöt";"D9R Saadut pääomansiirrot";"Käypiin hintoihin";843
"S13 Julkisyhteisöt";"D9SR Saadut pääomansiirrot, sulautettu";"Käypiin hintoihin";652
"S13 Julkisyhteisöt";"TOTREV Kokonaistulot";"Käypiin hintoihin";.
"S13 Julkisyhteisöt";"TOTREVS Kokonaistulot, sulautettu";"Käypiin hintoihin";112796
"S13 Julkisyhteisöt";"P2K Välituotekäyttö";"Käypiin hintoihin";23626
"S13 Julkisyhteisöt";"D1K Maksetut palkansaajakorvaukset";"Käypiin hintoihin";29166
"S13 Julkisyhteisöt";"D29K Muut tuotantoverot";"Käypiin hintoihin";6
"S13 Julkisyhteisöt";"D3K Maksetut tukipalkkiot";"Käypiin hintoihin";2689
"S13 Julkisyhteisöt";"D4K Omaisuusmenot";"Käypiin hintoihin";2595
"S13 Julkisyhteisöt";"D4SK  Omaisuusmenot, sulautettu";"Käypiin hintoihin";2505
"S13 Julkisyhteisöt";"D411KJ Julkisyhteisöjen väliset korot, maksetut";"Käypiin hintoihin";90
"S13 Julkisyhteisöt";"D5K Maksetut tulo-, varallisuus-, ym. juoksevat verot";"Käypiin hintoihin";155
"S13 Julkisyhteisöt";"D62K Maksetut rahamääräiset sosiaalietuudet";"Käypiin hintoihin";40267
"S13 Julkisyhteisöt";"D632K Luontoismuotoiset yhteiskunnalliset tulonsiirrot - ostettu markkinatuotanto";"Käypiin hintoihin";5618
"S13 Julkisyhteisöt";"D7K Maksetut muut tulonsiirrot";"Käypiin hintoihin";36055
"S13 Julkisyhteisöt";"D7SK Maksetut muut tulonsiirrot, sulautettu";"Käypiin hintoihin";6061
"S13 Julkisyhteisöt";"D9K Maksetut pääomansiirrot";"Käypiin hintoihin";845
"S13 Julkisyhteisöt";"D9SK Maksetut pääomansiirrot, sulautettu";"Käypiin hintoihin";654
"S13 Julkisyhteisöt";"P5K Pääoman bruttomuodostus";"Käypiin hintoihin";8606
"S13 Julkisyhteisöt";"NPK Valmistamattomien muiden kuin rahoitusvarojen nettohankinta";"Käypiin hintoihin";-62
"S13 Julkisyhteisöt";"TOTEXP Kokonaismenot";"Käypiin hintoihin";.
"S13 Julkisyhteisöt";"TOTEXPS Kokonaismenot, sulautettu";"Käypiin hintoihin";119291
"S13 Julkisyhteisöt";"B9T Nettoluotonanto (+) / nettoluotonotto (-)";"Käypiin hintoihin";-6495
"S1311 Valtionhallinto";"P11R Markkinatuotos";"Käypiin hintoihin";1656
"S1311 Valtionhallinto";"P12R Tuotos omaan loppukäyttöön";"Käypiin hintoihin";1817
"S1311 Valtionhallinto";"P131R Markkinattomien tuotteiden myynnit";"Käypiin hintoihin";123
"S1311 Valtionhallinto";"D2R Saadut tuotannon ja tuonnin verot";"Käypiin hintoihin";29555
"S1311 Valtionhallinto";"D4R Omaisuustulot";"Käypiin hintoihin";1777
"S1311 Valtionhallinto";"D4SR Omaisuustulot, sulautettu";"Käypiin hintoihin";1772
"S1311 Valtionhallinto";"D411RJ Julkisyhteisöjen väliset korot, saadut";"Käypiin hintoihin";5
"S1311 Valtionhallinto";"D5R Saadut tulo-, varallisuus-, ym. juoksevat verot";"Käypiin hintoihin";12632
"S1311 Valtionhallinto";"D61R Saadut sosiaaliturvamaksut";"Käypiin hintoihin";0
"S1311 Valtionhallinto";"D7R Saadut muut tulonsiirrot";"Käypiin hintoihin";2791
"S1311 Valtionhallinto";"D7SR Saadut muut tulonsiirrot, sulautettu";"Käypiin hintoihin";665
"S1311 Valtionhallinto";"D9R Saadut pääomansiirrot";"Käypiin hintoihin";646
"S1311 Valtionhallinto";"D9SR Saadut pääomansiirrot, sulautettu";"Käypiin hintoihin";646
"S1311 Valtionhallinto";"TOTREV Kokonaistulot";"Käypiin hintoihin";50997
"S1311 Valtionhallinto";"TOTREVS Kokonaistulot, sulautettu";"Käypiin hintoihin";.
"S1311 Valtionhallinto";"P2K Välituotekäyttö";"Käypiin hintoihin";5968
"S1311 Valtionhallinto";"D1K Maksetut palkansaajakorvaukset";"Käypiin hintoihin";6935
"S1311 Valtionhallinto";"D29K Muut tuotantoverot";"Käypiin hintoihin";.
"S1311 Valtionhallinto";"D3K Maksetut tukipalkkiot";"Käypiin hintoihin";2282
"S1311 Valtionhallinto";"D4K Omaisuusmenot";"Käypiin hintoihin";2420
"S1311 Valtionhallinto";"D4SK  Omaisuusmenot, sulautettu";"Käypiin hintoihin";2346
"S1311 Valtionhallinto";"D411KJ Julkisyhteisöjen väliset korot, maksetut";"Käypiin hintoihin";74
"S1311 Valtionhallinto";"D5K Maksetut tulo-, varallisuus-, ym. juoksevat verot";"Käypiin hintoihin";134
"S1311 Valtionhallinto";"D62K Maksetut rahamääräiset sosiaalietuudet";"Käypiin hintoihin";4248
"S1311 Valtionhallinto";"D632K Luontoismuotoiset yhteiskunnalliset tulonsiirrot - ostettu markkinatuotanto";"Käypiin hintoihin";341
"S1311 Valtionhallinto";"D7K Maksetut muut tulonsiirrot";"Käypiin hintoihin";31585
"S1311 Valtionhallinto";"D7SK Maksetut muut tulonsiirrot, sulautettu";"Käypiin hintoihin";5346
"S1311 Valtionhallinto";"D9K Maksetut pääomansiirrot";"Käypiin hintoihin";786
"S1311 Valtionhallinto";"D9SK Maksetut pääomansiirrot, sulautettu";"Käypiin hintoihin";611
"S1311 Valtionhallinto";"P5K Pääoman bruttomuodostus";"Käypiin hintoihin";4036
"S1311 Valtionhallinto";"NPK Valmistamattomien muiden kuin rahoitusvarojen nettohankinta";"Käypiin hintoihin";-79
"S1311 Valtionhallinto";"TOTEXP Kokonaismenot";"Käypiin hintoihin";58656
"S1311 Valtionhallinto";"TOTEXPS Kokonaismenot, sulautettu";"Käypiin hintoihin";.
"S1311 Valtionhallinto";"B9T Nettoluotonanto (+) / nettoluotonotto (-)";"Käypiin hintoihin";-7659
"S1313 Paikallishallinto";"P11R Markkinatuotos";"Käypiin hintoihin";8482
"S1313 Paikallishallinto";"P12R Tuotos omaan loppukäyttöön";"Käypiin hintoihin";256
"S1313 Paikallishallinto";"P131R Markkinattomien tuotteiden myynnit";"Käypiin hintoihin";2105
