"Julkisyhteisöjen menot tehtävittäin 1990-2014"

"Sektori";"Tehtävä";"Taloustoimi";"Tiedot";"2014"
"S13 Julkisyhteisöt";"G0  Tehtävät yhteensä";"D1K Maksetut palkansaajakorvaukset";"Käypiin hintoihin";29161
"S13 Julkisyhteisöt";"G0  Tehtävät yhteensä";"D11K Maksetut palkat ja palkkiot";"Käypiin hintoihin";22784
"S13 Julkisyhteisöt";"G0  Tehtävät yhteensä";"D12K Työnantajan sosiaaliturvamaksut";"Käypiin hintoihin";6377
"S13 Julkisyhteisöt";"G0  Tehtävät yhteensä";"P2K Välituotekäyttö";"Käypiin hintoihin";23633
"S13 Julkisyhteisöt";"G0  Tehtävät yhteensä";"D29K Muut tuotantoverot";"Käypiin hintoihin";6
"S13 Julkisyhteisöt";"G0  Tehtävät yhteensä";"D3K Maksetut tukipalkkiot";"Käypiin hintoihin";2689
"S13 Julkisyhteisöt";"G0  Tehtävät yhteensä";"D4K Omaisuusmenot";"Käypiin hintoihin";2647
"S13 Julkisyhteisöt";"G0  Tehtävät yhteensä";"D4SK  Omaisuusmenot, sulautettu";"Käypiin hintoihin";2557
"S13 Julkisyhteisöt";"G0  Tehtävät yhteensä";"D5K Maksetut tulo-, varallisuus-, ym. juoksevat verot";"Käypiin hintoihin";155
"S13 Julkisyhteisöt";"G0  Tehtävät yhteensä";"D62K Maksetut rahamääräiset sosiaalietuudet";"Käypiin hintoihin";40267
"S13 Julkisyhteisöt";"G0  Tehtävät yhteensä";"D632K Luontoismuotoiset yhteiskunnalliset tulonsiirrot - ostettu markkinatuotanto";"Käypiin hintoihin";5618
"S13 Julkisyhteisöt";"G0  Tehtävät yhteensä";"D7K Maksetut muut tulonsiirrot";"Käypiin hintoihin";36055
"S13 Julkisyhteisöt";"G0  Tehtävät yhteensä";"D7SK Maksetut muut tulonsiirrot, sulautettu";"Käypiin hintoihin";6061
"S13 Julkisyhteisöt";"G0  Tehtävät yhteensä";"D9K Maksetut pääomansiirrot";"Käypiin hintoihin";865
"S13 Julkisyhteisöt";"G0  Tehtävät yhteensä";"D9SK Maksetut pääomansiirrot, sulautettu";"Käypiin hintoihin";674
"S13 Julkisyhteisöt";"G0  Tehtävät yhteensä";"P5K Pääoman bruttomuodostus";"Käypiin hintoihin";8482
"S13 Julkisyhteisöt";"G0  Tehtävät yhteensä";"P51K Kiinteän pääoman bruttomuodostus";"Käypiin hintoihin";8468
"S13 Julkisyhteisöt";"G0  Tehtävät yhteensä";"NPK Valmistamattomien muiden kuin rahoitusvarojen nettohankinta";"Käypiin hintoihin";-62
"S13 Julkisyhteisöt";"G0  Tehtävät yhteensä";"P3K Kulutusmenot";"Käypiin hintoihin";50781
"S13 Julkisyhteisöt";"G0  Tehtävät yhteensä";"NETEXP Nettomenot";"Käypiin hintoihin";134204
"S13 Julkisyhteisöt";"G0  Tehtävät yhteensä";"NETEXPS Nettomenot, sulautettu";"Käypiin hintoihin";103929
"S13 Julkisyhteisöt";"G0  Tehtävät yhteensä";"TOTEXP Kokonaismenot";"Käypiin hintoihin";149516
"S13 Julkisyhteisöt";"G0  Tehtävät yhteensä";"TOTEXPS Kokonaismenot, sulautettu";"Käypiin hintoihin";119241
"S13 Julkisyhteisöt";"G01  Yleinen julkishallinto";"D1K Maksetut palkansaajakorvaukset";"Käypiin hintoihin";3851
"S13 Julkisyhteisöt";"G01  Yleinen julkishallinto";"D11K Maksetut palkat ja palkkiot";"Käypiin hintoihin";3009
"S13 Julkisyhteisöt";"G01  Yleinen julkishallinto";"D12K Työnantajan sosiaaliturvamaksut";"Käypiin hintoihin";842
"S13 Julkisyhteisöt";"G01  Yleinen julkishallinto";"P2K Välituotekäyttö";"Käypiin hintoihin";5462
"S13 Julkisyhteisöt";"G01  Yleinen julkishallinto";"D29K Muut tuotantoverot";"Käypiin hintoihin";3
"S13 Julkisyhteisöt";"G01  Yleinen julkishallinto";"D3K Maksetut tukipalkkiot";"Käypiin hintoihin";9
"S13 Julkisyhteisöt";"G01  Yleinen julkishallinto";"D4K Omaisuusmenot";"Käypiin hintoihin";2640
"S13 Julkisyhteisöt";"G01  Yleinen julkishallinto";"D4SK  Omaisuusmenot, sulautettu";"Käypiin hintoihin";2550
"S13 Julkisyhteisöt";"G01  Yleinen julkishallinto";"D5K Maksetut tulo-, varallisuus-, ym. juoksevat verot";"Käypiin hintoihin";113
"S13 Julkisyhteisöt";"G01  Yleinen julkishallinto";"D62K Maksetut rahamääräiset sosiaalietuudet";"Käypiin hintoihin";.
"S13 Julkisyhteisöt";"G01  Yleinen julkishallinto";"D632K Luontoismuotoiset yhteiskunnalliset tulonsiirrot - ostettu markkinatuotanto";"Käypiin hintoihin";.
"S13 Julkisyhteisöt";"G01  Yleinen julkishallinto";"D7K Maksetut muut tulonsiirrot";"Käypiin hintoihin";6727
"S13 Julkisyhteisöt";"G01  Yleinen julkishallinto";"D7SK Maksetut muut tulonsiirrot, sulautettu";"Käypiin hintoihin";3054
